listing_id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,district,city,latitude,longitude,property_type,room_type,accommodates,bedrooms,amenities,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
19763147,"Appartement au coeur de Paris 60m2, Paris 9eme",129041216,05-05-2017,"Paris, Ile-de-France, France",,,,f,1,t,t,Opera,,Paris,48.87175,2.32665,Entire apartment,Entire place,4,1,"['Iron', 'Heating', 'Washer', 'Hair dryer', 'Dedicated workspace', 'Smoke alarm', 'Wifi', 'Kitchen', 'Elevator', 'Keypad', 'Essentials', 'TV']",100,3,20,90,10,10,10,10,10,10,t
19917739,Superbe appartement vue Tour Eiffel,8155981,14-08-2013,"Paris, Ile-de-France, France",,,,t,1,t,t,Popincourt,,Paris,48.85071,2.3919,Entire apartment,Entire place,4,1,"['Iron', 'Oven', 'Patio or balcony', 'Heating', 'Washer', 'Hair dryer', 'Smoke alarm', 'Wifi', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Hot water', 'Essentials', 'Long term stays allowed', 'Dishwasher', 'TV', 'Coffee maker', 'Microwave']",85,4,1120,99,10,10,10,10,10,10,f
20169255,"Cozy parisian girl appartment, Sacre-CÅ“ur!",6558165,24-05-2013,"Paris, Ile-de-France, France",,,,t,1,t,t,Buttes-Montmartre,,Paris,48.88569,2.34755,Entire apartment,Entire place,4,1,"['Dishes and silverware', 'Hangers', 'Luggage dropoff allowed', 'Stove', 'Coffee maker', 'Iron', 'Dedicated workspace', 'Smoke alarm', 'First aid kit', 'Essentials', 'Shampoo', 'Heating', 'Washer', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Hot water', 'Oven', 'Hair dryer', 'Wifi', 'Host greets you', 'Microwave']",100,2,6,98,10,10,10,10,10,10,f
20754454,2 piÃ¨ces calme et cosy proche tour Eiffel,146130167,15-08-2017,"Paris, Ile-de-France, France",,,,f,1,t,t,Vaugirard,,Paris,48.84451,2.28556,Entire apartment,Entire place,4,1,"['Free parking on premises', 'Patio or balcony', 'Elevator', 'Dishes and silverware', 'Pocket wifi', 'Hangers', 'Luggage dropoff allowed', 'Stove', 'Coffee maker', 'Dedicated workspace', 'Essentials', 'Private entrance', 'Bed linens', 'Paid parking off premises', 'Heating', 'Washer', 'Extra pillows and blankets', 'Cable TV', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Hot water', 'Oven', 'Hair dryer', 'Wifi', 'Host greets you']",105,5,15,99,10,10,10,10,10,10,t
21201353,Appartement Ã  10 min en metro de Montmartre,131449206,22-05-2017,"Paris, Ile-de-France, France",,,,f,1,t,t,Batignolles-Monceau,,Paris,48.89151,2.32099,Entire apartment,Entire place,4,1,"['Iron', 'Shampoo', 'Oven', 'Heating', 'Washer', 'Hair dryer', 'Smoke alarm', 'Wifi', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Essentials', 'Hangers', 'TV', 'Stove', 'Microwave']",75,1,15,96,10,10,10,10,10,10,t
21484928,Appartement cosy au parc de Belleville,57371221,04-02-2016,"Paris, Ile-de-France, France",,,,f,1,t,t,Menilmontant,,Paris,48.87068,2.38617,Entire apartment,Entire place,4,1,"['Heating', 'Washer', 'Hair dryer', 'Smoke alarm', 'Wifi', 'Kitchen', 'Essentials']",55,1,6,90,10,10,10,10,10,10,f
21695501,Appartement cosy entre le Marais et les Halles,51305627,14-12-2015,"Paris, Ile-de-France, France",,,,f,1,t,t,Temple,,Paris,48.86462,2.35488,Entire apartment,Entire place,4,1,"['Kitchen', 'Iron', 'Hair dryer', 'Hangers', 'Smoke alarm', 'Hot water', 'Heating', 'Shampoo', 'Essentials', 'Washer', 'Wifi']",85,2,20,91,10,10,10,10,10,10,f
21713461,"Cosy two-room flat, ideally situated",32051457,27-04-2015,"Paris, Ile-de-France, France",,,,f,1,t,t,Popincourt,,Paris,48.8605,2.37307,Entire apartment,Entire place,4,1,"['Shampoo', 'Iron', 'Oven', 'Heating', 'Washer', 'Wifi', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Hot water', 'Hangers', 'Essentials', 'Long term stays allowed', 'Host greets you', 'Stove', 'Microwave']",60,2,1124,99,10,10,10,10,10,10,f
22257674,Appartement de charme en plein coeur de Montmartre,54999463,17-01-2016,"Paris, Ile-de-France, France",,,,f,1,t,f,Buttes-Montmartre,,Paris,48.88768,2.33347,Entire apartment,Entire place,4,1,"['Paid parking off premises', 'Shampoo', 'First aid kit', 'Heating', 'Iron', 'Kitchen', 'Hair dryer', 'Essentials', 'Washer', 'Hot water', 'Hangers', 'Smoke alarm', 'Wifi', 'Elevator', 'Host greets you']",70,2,6,97,10,10,10,10,10,10,f
23030381,Logement entier - 2 piÃ¨ces - proche Tour Eiffel,25976236,12-01-2015,"Paris, Ile-de-France, France",,,,f,1,t,t,Vaugirard,,Paris,48.84457,2.29557,Entire apartment,Entire place,4,1,"['Kitchen', 'Hair dryer', 'Coffee maker', 'Smoke alarm', 'Cooking basics', 'Dedicated workspace', 'Hot water', 'Refrigerator', 'Shampoo', 'Essentials', 'Bed linens', 'Stove', 'Heating', 'Dishes and silverware', 'Washer', 'Microwave', 'Oven', 'Long term stays allowed']",90,3,30,96,10,10,10,10,10,10,f
24306522,Appartement de caractÃ¨re proche Montmartre,12860637,06-03-2014,"Paris, Ile-de-France, France",,,,f,1,t,t,Buttes-Montmartre,,Paris,48.88606,2.32724,Entire apartment,Entire place,4,1,"['Iron', 'Heating', 'Washer', 'Wifi', 'Kitchen', 'Essentials', 'Hangers', 'Private entrance', 'Long term stays allowed', 'TV']",70,2,31,80,10,10,10,10,10,10,f
24843339,Grand et lumineux deux piÃ¨ces,7829359,30-07-2013,"Paris, Ile-de-France, France",,,,f,1,t,f,Popincourt,,Paris,48.86936,2.37916,Entire apartment,Entire place,4,1,"['Ethernet connection', 'Elevator', 'Dishes and silverware', 'Hangers', 'Stove', 'Coffee maker', 'Iron', 'Dryer', 'Smoke alarm', 'Essentials', 'Bed linens', 'Dishwasher', 'TV', 'Shampoo', 'Heating', 'Washer', 'Extra pillows and blankets', 'Cable TV', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Hot water', 'Oven', 'Hair dryer', 'Indoor fireplace', 'Wifi', 'Microwave']",40,3,6,96,10,10,10,10,10,10,t
